Retailer,Retailer ID,Invoice Date,Beverages,Days to Deliver,Delivery Company,Units Sold,Total Sales,Operating Profit,Price per Unit,Operating Margin (%),State,Region,City
Costco,1197831,2022-04-02,Coca-Cola,58,FedEx,9000,2700.0,945.0,0.3,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-04-02,Diet Coke,27,FedEx,9000,3600.0,1260.0,0.4,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-04-02,Sprite,21,DHL,7250,2538.0,888.0,0.35,35.0,Ontario,Central,Brampton
Costco,1197831,2022-04-02,Fanta,51,FedEx,6250,2500.0,1125.0,0.4,45.0,Ontario,Central,Mississauga
Costco,1197831,2022-04-02,Powerade,23,UPS,5250,2363.0,709.0,0.45,30.0,Ontario,Central,Windsor
Costco,1197831,2022-04-02,Dasani Water,35,USPS,8000,3200.0,1600.0,0.4,50.0,Ontario,Central,Toronto
Costco,1197831,2022-05-02,Coca-Cola,22,USPS,9250,2775.0,971.0,0.3,35.0,Ontario,Central,Ottawa
Costco,1197831,2022-05-02,Diet Coke,42,UPS,9250,3700.0,1295.0,0.4,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-05-02,Sprite,24,DHL,7750,2713.0,949.0,0.35,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-05-02,Fanta,47,USPS,7000,2800.0,1260.0,0.4,45.0,Ontario,Central,Windsor
Costco,1197831,2022-05-02,Powerade,32,DHL,6000,2700.0,810.0,0.45,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-05-02,Dasani Water,53,UPS,9500,3800.0,1900.0,0.4,50.0,Ontario,Central,Ottawa
Costco,1197831,2022-06-01,Coca-Cola,59,FedEx,9500,3800.0,1330.0,0.4,35.0,Ontario,Central,Hamilton
Costco,1197831,2022-06-01,Diet Coke,23,DHL,9500,4275.0,1496.0,0.45,35.0,Ontario,Central,Brampton
Costco,1197831,2022-06-01,Sprite,29,UPS,8000,3200.0,1120.0,0.4,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-06-01,Fanta,35,USPS,7500,3000.0,1350.0,0.4,45.0,Ontario,Central,Windsor
Costco,1197831,2022-06-01,Powerade,19,UPS,6500,2925.0,878.0,0.45,30.0,Ontario,Central,Mississauga
Costco,1197831,2022-06-01,Dasani Water,45,USPS,10000,5000.0,2500.0,0.5,50.0,Ontario,Central,Windsor
Costco,1197831,2022-07-03,Coca-Cola,18,FedEx,9500,3800.0,1330.0,0.4,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-07-03,Diet Coke,37,DHL,9500,4275.0,1496.0,0.45,35.0,Ontario,Central,Windsor
Costco,1197831,2022-07-03,Sprite,45,USPS,11000,4400.0,1540.0,0.4,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-07-03,Fanta,19,DHL,7000,2800.0,1260.0,0.4,45.0,Ontario,Central,Toronto
Costco,1197831,2022-07-03,Powerade,54,USPS,7000,3150.0,945.0,0.45,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-07-03,Dasani Water,30,UPS,9750,4875.0,2438.0,0.5,50.0,Ontario,Central,Hamilton
Costco,1197831,2022-08-05,Coca-Cola,40,DHL,9250,3700.0,1295.0,0.4,35.0,Ontario,Central,Hamilton
Costco,1197831,2022-08-05,Diet Coke,23,FedEx,9250,4163.0,1457.0,0.45,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-08-05,Sprite,52,DHL,11000,4400.0,1540.0,0.4,35.0,Ontario,Central,Hamilton
Costco,1197831,2022-08-05,Fanta,31,UPS,6500,2600.0,1170.0,0.4,45.0,Ontario,Central,Toronto
Costco,1197831,2022-08-05,Powerade,37,UPS,6500,2925.0,878.0,0.45,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-08-05,Dasani Water,59,FedEx,9000,4500.0,2250.0,0.5,50.0,Ontario,Central,Ottawa
Costco,1197831,2022-09-02,Coca-Cola,53,FedEx,8500,3825.0,1339.0,0.45,35.0,Ontario,Central,Windsor
Costco,1197831,2022-09-02,Diet Coke,58,USPS,8500,3825.0,1339.0,0.45,35.0,Ontario,Central,Hamilton
Costco,1197831,2022-09-02,Sprite,57,DHL,9000,4500.0,1575.0,0.5,35.0,Ontario,Central,Toronto
Costco,1197831,2022-09-02,Fanta,22,DHL,6250,3125.0,1406.0,0.5,45.0,Ontario,Central,Hamilton
Costco,1197831,2022-09-02,Powerade,24,DHL,6250,2813.0,844.0,0.45,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-09-02,Dasani Water,31,USPS,8500,4675.0,2338.0,0.55,50.0,Ontario,Central,Hamilton
Costco,1197831,2022-10-01,Coca-Cola,43,USPS,8000,3600.0,1260.0,0.45,35.0,Ontario,Central,Toronto
Costco,1197831,2022-10-01,Diet Coke,35,USPS,8000,3600.0,1260.0,0.45,35.0,Ontario,Central,Brampton
Costco,1197831,2022-10-01,Sprite,60,USPS,7500,3750.0,1313.0,0.5,35.0,Ontario,Central,Ottawa
Costco,1197831,2022-10-01,Fanta,32,FedEx,6000,3000.0,1350.0,0.5,45.0,Ontario,Central,Brampton
Costco,1197831,2022-10-01,Powerade,16,USPS,5750,2588.0,776.0,0.45,30.0,Ontario,Central,Mississauga
Costco,1197831,2022-10-01,Dasani Water,20,FedEx,7500,4125.0,2063.0,0.55,50.0,Ontario,Central,Toronto
Costco,1197831,2022-11-02,Coca-Cola,53,FedEx,9000,4050.0,1418.0,0.45,35.0,Ontario,Central,Hamilton
Costco,1197831,2022-11-02,Diet Coke,40,FedEx,9000,4050.0,1418.0,0.45,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-11-02,Sprite,35,UPS,8250,4125.0,1444.0,0.5,35.0,Ontario,Central,Mississauga
Costco,1197831,2022-11-02,Fanta,30,UPS,6750,3375.0,1519.0,0.5,45.0,Ontario,Central,Hamilton
Costco,1197831,2022-11-02,Powerade,15,DHL,6500,2925.0,878.0,0.45,30.0,Ontario,Central,Hamilton
Costco,1197831,2022-11-02,Dasani Water,24,USPS,8500,4675.0,2338.0,0.55,50.0,Ontario,Central,Hamilton
Costco,1197831,2022-12-01,Coca-Cola,22,FedEx,9500,4275.0,1496.0,0.45,35.0,Ontario,Central,Windsor
Costco,1197831,2022-12-01,Diet Coke,46,DHL,9500,4275.0,1496.0,0.45,35.0,Ontario,Central,Ottawa
Costco,1197831,2022-12-01,Sprite,45,FedEx,8500,4250.0,1488.0,0.5,35.0,Ontario,Central,Windsor
Costco,1197831,2022-12-01,Fanta,22,USPS,7000,3500.0,1575.0,0.5,45.0,Ontario,Central,Windsor
Costco,1197831,2022-12-01,Powerade,35,DHL,6500,2925.0,878.0,0.45,30.0,Ontario,Central,Brampton
Costco,1197831,2022-12-01,Dasani Water,16,FedEx,9000,4950.0,2475.0,0.55,50.0,Ontario,Central,Brampton
FreshCo,1128299,2022-01-20,Coca-Cola,45,DHL,7750,3100.0,1085.0,0.4,35.0,Ontario,Central,Windsor
FreshCo,1128299,2022-01-20,Diet Coke,50,UPS,7750,3875.0,775.0,0.5,20.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-01-20,Sprite,25,USPS,7750,3875.0,1356.0,0.5,35.0,Ontario,Central,Brampton
FreshCo,1128299,2022-01-20,Fanta,48,UPS,6250,3125.0,938.0,0.5,30.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-01-20,Powerade,57,FedEx,5750,3163.0,1581.0,0.55,50.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-01-20,Dasani Water,20,DHL,7750,3875.0,581.0,0.5,15.0,Ontario,Central,Windsor
FreshCo,1128299,2022-02-20,Coca-Cola,26,USPS,8250,3300.0,1155.0,0.4,35.0,Ontario,Central,Toronto
FreshCo,1128299,2022-02-20,Diet Coke,55,FedEx,7250,3625.0,725.0,0.5,20.0,Ontario,Central,Toronto
FreshCo,1128299,2022-02-20,Sprite,59,USPS,7250,3625.0,1269.0,0.5,35.0,Ontario,Central,Brampton
FreshCo,1128299,2022-02-20,Fanta,60,FedEx,5750,2875.0,863.0,0.5,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-02-20,Powerade,21,UPS,5000,2750.0,1375.0,0.55,50.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-02-20,Dasani Water,39,DHL,7000,3500.0,525.0,0.5,15.0,Ontario,Central,Brampton
FreshCo,1128299,2022-03-19,Coca-Cola,55,FedEx,8500,4250.0,1488.0,0.5,35.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-03-19,Diet Coke,38,DHL,7000,4200.0,840.0,0.6,20.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-03-19,Sprite,49,UPS,7000,4200.0,1470.0,0.6,35.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-03-19,Fanta,39,UPS,6000,3600.0,1080.0,0.6,30.0,Ontario,Central,Toronto
FreshCo,1128299,2022-03-19,Powerade,15,DHL,5000,3250.0,1625.0,0.65,50.0,Ontario,Central,Windsor
FreshCo,1128299,2022-03-19,Dasani Water,26,FedEx,7000,4200.0,630.0,0.6,15.0,Ontario,Central,Windsor
FreshCo,1128299,2022-04-20,Coca-Cola,31,FedEx,8750,5250.0,1838.0,0.6,35.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-04-20,Diet Coke,18,UPS,6750,4388.0,878.0,0.65,20.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-04-20,Sprite,41,DHL,7250,4713.0,1649.0,0.65,35.0,Ontario,Central,Windsor
FreshCo,1128299,2022-04-20,Fanta,31,USPS,6250,3750.0,1125.0,0.6,30.0,Ontario,Central,Toronto
FreshCo,1128299,2022-04-20,Powerade,46,FedEx,5250,3413.0,1706.0,0.65,50.0,Ontario,Central,Toronto
FreshCo,1128299,2022-04-20,Dasani Water,36,USPS,7000,5600.0,840.0,0.8,15.0,Ontario,Central,Toronto
FreshCo,1128299,2022-05-21,Coca-Cola,26,DHL,9000,5400.0,2160.0,0.6,40.0,Ontario,Central,Brampton
FreshCo,1128299,2022-05-21,Diet Coke,15,UPS,7500,4875.0,1219.0,0.65,25.0,Ontario,Central,Toronto
FreshCo,1128299,2022-05-21,Sprite,39,FedEx,7500,4875.0,1950.0,0.65,40.0,Ontario,Central,Brampton
FreshCo,1128299,2022-05-21,Fanta,32,USPS,6500,3900.0,1365.0,0.6,35.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-05-21,Powerade,55,USPS,5500,3575.0,1966.0,0.65,55.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-05-21,Dasani Water,50,DHL,7250,5800.0,1160.0,0.8,20.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-06-20,Coca-Cola,33,UPS,9750,5850.0,2340.0,0.6,40.0,Ontario,Central,Windsor
FreshCo,1128299,2022-06-20,Diet Coke,27,FedEx,8250,5363.0,1341.0,0.65,25.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-06-20,Sprite,53,DHL,8250,5363.0,2145.0,0.65,40.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-06-20,Fanta,55,UPS,7000,4200.0,1470.0,0.6,35.0,Ontario,Central,Brampton
FreshCo,1128299,2022-06-20,Powerade,46,FedEx,5750,3738.0,2056.0,0.65,55.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-06-20,Dasani Water,35,DHL,8750,7000.0,1400.0,0.8,20.0,Ontario,Central,Toronto
FreshCo,1128299,2022-07-19,Coca-Cola,26,USPS,10250,6150.0,2153.0,0.6,35.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-07-19,Diet Coke,25,UPS,8750,5688.0,1138.0,0.65,20.0,Ontario,Central,Windsor
FreshCo,1128299,2022-07-19,Sprite,36,UPS,8250,5363.0,1877.0,0.65,35.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-07-19,Fanta,35,UPS,7250,4350.0,1305.0,0.6,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-07-19,Powerade,15,UPS,7750,5038.0,2519.0,0.65,50.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-07-19,Dasani Water,56,USPS,7750,6200.0,930.0,0.8,15.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-08-20,Coca-Cola,56,USPS,9750,6338.0,2218.0,0.65,35.0,Ontario,Central,Toronto
FreshCo,1128299,2022-08-20,Diet Coke,57,UPS,9250,6475.0,1295.0,0.7,20.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-08-20,Sprite,37,FedEx,8000,5200.0,1820.0,0.65,35.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-08-20,Fanta,57,DHL,7500,4875.0,1463.0,0.65,30.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-08-20,Powerade,15,UPS,7500,5625.0,2813.0,0.75,50.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-08-20,Dasani Water,38,DHL,7250,5800.0,870.0,0.8,15.0,Ontario,Central,Windsor
FreshCo,1128299,2022-09-21,Coca-Cola,30,DHL,9250,5088.0,1526.0,0.55,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-09-21,Diet Coke,58,UPS,9250,5550.0,833.0,0.6,15.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-09-21,Sprite,38,FedEx,7750,4263.0,1279.0,0.55,30.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-09-21,Fanta,30,UPS,7250,3988.0,997.0,0.55,25.0,Ontario,Central,Windsor
FreshCo,1128299,2022-09-21,Powerade,19,DHL,7250,4713.0,2121.0,0.65,45.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-09-21,Dasani Water,48,UPS,7750,5425.0,543.0,0.7,10.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-10-20,Coca-Cola,55,USPS,8750,4813.0,1444.0,0.55,30.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-10-20,Diet Coke,23,USPS,8750,5250.0,788.0,0.6,15.0,Ontario,Central,Brampton
FreshCo,1128299,2022-10-20,Sprite,42,UPS,7000,3850.0,1155.0,0.55,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-10-20,Fanta,58,UPS,6750,3713.0,928.0,0.55,25.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-10-20,Powerade,35,DHL,6500,4225.0,1901.0,0.65,45.0,Ontario,Central,Brampton
FreshCo,1128299,2022-10-20,Dasani Water,60,USPS,7000,4900.0,490.0,0.7,10.0,Ontario,Central,Mississauga
FreshCo,1128299,2022-11-20,Coca-Cola,28,FedEx,8750,4813.0,1444.0,0.55,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-11-20,Diet Coke,28,DHL,8750,5250.0,788.0,0.6,15.0,Ontario,Central,Windsor
FreshCo,1128299,2022-11-20,Sprite,30,UPS,7250,3988.0,1196.0,0.55,30.0,Ontario,Central,Ottawa
FreshCo,1128299,2022-11-20,Fanta,47,FedEx,7000,3850.0,963.0,0.55,25.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-11-20,Powerade,27,USPS,6500,4225.0,1901.0,0.65,45.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-11-20,Dasani Water,31,UPS,7750,5425.0,543.0,0.7,10.0,Ontario,Central,Brampton
FreshCo,1128299,2022-12-19,Coca-Cola,22,FedEx,9750,5363.0,1609.0,0.55,30.0,Ontario,Central,Hamilton
FreshCo,1128299,2022-12-19,Diet Coke,31,UPS,9750,5850.0,878.0,0.6,15.0,Ontario,Central,Brampton
FreshCo,1128299,2022-12-19,Sprite,43,UPS,7750,4263.0,1279.0,0.55,30.0,Ontario,Central,Toronto
FreshCo,1128299,2022-12-19,Fanta,16,FedEx,7750,4263.0,1066.0,0.55,25.0,Ontario,Central,Brampton
FreshCo,1128299,2022-12-19,Powerade,27,DHL,7000,4550.0,2048.0,0.65,45.0,Ontario,Central,Toronto
FreshCo,1128299,2022-12-19,Dasani Water,57,UPS,8000,5600.0,560.0,0.7,10.0,Ontario,Central,Toronto
Real Canadian Superstore,1189833,2022-01-15,Coca-Cola,54,DHL,7000,2450.0,980.0,0.35,40.0,Ontario,Central,Ottawa
Real Canadian Superstore,1189833,2022-01-15,Diet Coke,32,FedEx,7000,3150.0,788.0,0.45,25.0,Ontario,Central,Hamilton
Real Canadian Superstore,1189833,2022-01-15,Sprite,30,UPS,7000,3150.0,1260.0,0.45,40.0,Ontario,Central,Mississauga
Real Canadian Superstore,1189833,2022-01-15,Fanta,30,FedEx,5500,2475.0,866.0,0.45,35.0,Ontario,Central,Hamilton
